iter	Passed	Remaining
425	2719	3664
426	2722	3653
427	2725	3642
428	2728	3631
429	2730	3619
430	2733	3609
431	2772	3645
432	2775	3633
433	2777	3622
434	2800	3637
435	2806	3630
436	2809	3619
437	2812	3608
438	2815	3597
439	2821	3591
440	2875	3645
441	2880	3636
442	2888	3631
443	2892	3622
444	2895	3610
445	2902	3605
446	2924	3617
447	2927	3606
448	2930	3595
449	2932	3584
450	2969	3614
451	2975	3607
452	2979	3598
453	2982	3586
454	2985	3575
455	2991	3568
456	2994	3557
457	2996	3546
458	2999	3535
459	3002	3524
460	3044	3560
461	3048	3549
462	3058	3546
463	3060	3535
464	3063	3524
465	3072	3521
466	3075	3510
467	3078	3499
468	3081	3488
469	3105	3501
470	3108	3490
471	3120	3490
472	3130	3487
473	3144	3489
474	3147	3478
475	3158	3476
476	3161	3465
477	3166	3457
478	3170	3448
479	3172	3437
480	3175	3426
481	3178	3415
482	3182	3406
483	3185	3396
484	3188	3385
485	3194	3378
486	3215	3386
487	3234	3393
488	3236	3382
489	3242	3374
490	3244	3363
491	3247	3352
492	3250	3342
493	3253	3332
494	3258	3324
495	3262	3315
496	3302	3342
497	3307	3334
498	3310	3324
499	3313	3313
500	3316	3303
501	3333	3306
502	3339	3299
503	3343	3289
504	3345	3279
505	3349	3269
506	3360	3267
507	3362	3256
508	3365	3246
509	3371	3239
510	3374	3228
511	3402	3242
512	3404	3232
513	3407	3221
514	3410	3211
515	3412	3200
516	3427	3202
517	3430	3192
518	3436	3185
519	3439	3175
520	3442	3164
521	3445	3155
522	3451	3148
523	3459	3142
524	3469	3139
525	3472	3129
526	3475	3119
527	3478	3109
528	3481	3099
529	3484	3089
530	3487	3079
531	3489	3069
532	3494	3061
533	3497	3051
534	3499	3041
535	3502	3031
536	3506	3023
537	3549	3048
538	3552	3038
539	3555	3028
540	3558	3018
541	3563	3011
542	3566	3001
543	3569	2991
544	3571	2981
545	3577	2974
546	3580	2965
547	3583	2955
548	3602	2959
549	3605	2950
550	3611	2942
551	3614	2933
552	3617	2924
553	3620	2914
554	3626	2907
555	3628	2897
556	3631	2888
557	3634	2878
558	3636	2869
559	3652	2870
560	3658	2863
561	3661	2853
562	3664	2844
563	3669	2836
564	3672	2827
565	3675	2817
566	3678	2809
567	3681	2800
568	3692	2796
569	3694	2787
570	3697	2778
571	3703	2770
572	3705	2761
573	3708	2752
574	3719	2749
575	3722	2740
576	3726	2731
577	3729	2722
578	3734	2715
579	3745	2711
580	3750	2704
581	3753	2695
582	3756	2686
583	3759	2677
584	3771	2675
585	3774	2666
586	3780	2659
587	3783	2651
588	3786	2642
589	3789	2633
590	3793	2625
591	3796	2616
592	3799	2607
593	3812	2605
594	3814	2596
595	3817	2587
596	3828	2584
597	3830	2575
598	3842	2572
599	3848	2565
600	3850	2556
601	3852	2547
602	3858	2540
603	3862	2532
604	3864	2523
605	3867	2514
606	3873	2507
607	3876	2499
608	3881	2492
609	3884	2483
610	3890	2476
611	3893	2468
612	3896	2459
613	3898	2450
614	3907	2445
615	3911	2438
616	3914	2429
617	3917	2421
618	3921	2413
619	3924	2405
620	3927	2396
621	3929	2388
